Nr,finnkode,tot_pris,kvdmeter_P_B,soverom,rom_ca,etasje,fellesutgifter,bydel_ca,bydel_grov,byggeaar,date_noted
31,199672259,4357420,74,2,3,3,2573,Workinnmarka,Tromso,2004,03.12.2020
32,133712403,9994042,375,5,8,1,0,Reinen,Fastlandet,1982,03.12.2020
33,199661020,3483770,51,2,3,1,2596,Kroken,Fastlandet,2017,03.12.2020
34,199634562,2850960,55,1,2,2,3189,Fagereng,Tromso,2003,03.12.2020
35,182155882,4562592,85,2,3,2,3503,Sentrum,Tromso,1997,03.12.2020
36,199645958,3650346,96,3,4,1,6827,Stakkevollan,Tromso,1983,03.12.2020
37,199596091,6971342,129,4,5,1,0,Tromsdalen,Fastlandet,2019,03.12.2020
38,199577724,2619930,50,1,2,1,5209,Tomasjord,Fastlandet,1975,03.12.2020
39,199353767,5433670,98,3,5,1,5163,Bjerkaker,Tromso,2005,03.12.2020
40,199063480,4649357,133,3,4,1,9307,Haapet,Tromso,1969,03.12.2020
41,182473412,2996454,57,1,2,1,6386,Kroken,Fastlandet,1974,03.12.2020
42,199384697,2972500,51,2,3,1,0,Breivika,Tromso,1937,03.12.2020
43,199066280,3562218,63,2,3,3,7682,Fagereng,Tromso,2001,03.12.2020
44,199142484,2963592,45,1,3,1,2183,Sentrum,Tromso,2013,03.12.2020
45,199110191,7545392,222,5,9,1,0,Guleng,Tromso,1997,03.12.2020
46,199107856,2875823,55,1,2,1,8388,Fagereng,Tromso,2003,03.12.2020
47,199104036,2576693,47,1,2,2,10904,Sentrum,Tromso,2008,03.12.2020
48,199104020,2901443,51,1,2,1,8441,Fagereng,Tromso,2003,03.12.2020
49,199104028,5187892,135,3,5,1,0,Tromsdalen,Fastlandet,1954,03.12.2020
50,199103965,9823823,163,5,6,1,0,Bjerkaker,Tromso,2020,03.12.2020
51,199103966,11823823,196,5,6,1,0,Bjerkaker,Tromso,2020,03.12.2020
52,188024908,5126392,125,3,5,1,0,Tomasjord,Fastlandet,1965,03.12.2020
